word,total_freq,occur_freq,std,cv
试剂,10,8,0.10285951086709837,15.490642336585013
摇篮,10,8,0.10285951086709837,15.490642336585013
走马观花,10,8,0.10285951086709837,15.490642336585013
秒钟,10,8,0.10285951086709837,15.490642336585013
一块钱,10,8,0.10285951086709837,15.490642336585013
乱象,10,8,0.10285951086709837,15.490642336585013
灯笼,10,8,0.10285951086709837,15.490642336585013
妙手,10,7,0.10285951086709837,15.490642336585013
牵着,10,8,0.10285951086709837,15.490642336585013
肉类,10,8,0.10285951086709837,15.490642336585013
距离感,10,8,0.10285951086709837,15.490642336585013
周旋,10,8,0.10285951086709837,15.490642336585013
刷刷,10,7,0.10285951086709837,15.490642336585013
干事,10,8,0.10285951086709837,15.490642336585013
东部,10,7,0.10285951086709837,15.490642336585013
无数遍,10,7,0.10285951086709835,15.490642336585012
示威游行,10,7,0.10285951086709835,15.490642336585012
投行,10,8,0.10285951086709835,15.490642336585012
面向社会,10,7,0.10285951086709835,15.490642336585012
绑定,10,7,0.10285951086709835,15.490642336585012
死者,10,8,0.10285951086709835,15.490642336585012
自然界,10,7,0.10285951086709835,15.490642336585012
国籍,10,7,0.10285951086709835,15.490642336585012
赏识,10,8,0.10285951086709835,15.490642336585012
浪,10,8,0.10285951086709835,15.490642336585012
厨师长,20,8,0.2057190217341967,15.490642336585012
红湖,10,7,0.10285951086709835,15.490642336585012
先祖,10,7,0.10285951086709835,15.490642336585012
仙,10,7,0.10285951086709835,15.490642336585012
插入,10,8,0.10285951086709835,15.490642336585012
发票,10,7,0.10285951086709835,15.490642336585012
序言,10,7,0.10285951086709835,15.490642336585012
番茄,10,8,0.10285951086709835,15.490642336585012
亚东,10,7,0.10285951086709835,15.490642336585012
算计,10,7,0.10285951086709835,15.490642336585012
几多,10,7,0.10285951086709835,15.490642336585012
全院,10,7,0.10285951086709835,15.490642336585012
相似性,10,8,0.10285951086709835,15.490642336585012
大势,10,7,0.10285951086709835,15.490642336585012
同住,10,8,0.10285951086709835,15.490642336585012
核桃,10,7,0.10285951086709835,15.490642336585012
被判,10,7,0.10285951086709835,15.490642336585012
汉,10,8,0.10285951086709835,15.490642336585012
盘踞,10,7,0.10285951086709835,15.490642336585012
理财,10,8,0.10285951086709835,15.490642336585012
小车,10,7,0.10285951086709835,15.490642336585012
工农,10,8,0.10285951086709835,15.490642336585012
